seed,offset,ibd_f1,cusum_f1,delta,ibd_positive_fraction,cusum_positive_fraction,ibd_conf_false,cusum_conf_false
5000,200,0.4,0.0,0.4,0.017543859649122806,0.0,0.03543239715126914,0.04589497514373689
5000,500,0.0,0.0,0.0,0.0,0.0,0.03445278189037672,0.04589497514373689
5000,1000,0.5,0.0,0.5,0.008771929824561403,0.0,0.03467884695058266,0.04589497514373689
5001,200,0.0,0.0,0.0,0.0,0.0,0.03437742687030807,0.04589497514373689
5001,500,0.0,0.0,0.0,0.0,0.0,0.03583898546997859,0.04589497514373689
5001,1000,0.0,0.0,0.0,0.0,0.0,0.03437742687030807,0.04589497514373689
5002,200,0.0,0.0,0.0,0.008771929824561403,0.0,0.035084785216121836,0.04589497514373689
5002,500,0.0,0.0,0.0,0.0,0.0,0.04522365269396013,0.04589497514373689
5002,1000,0.0,0.0,0.0,0.0,0.0,0.03968494985248805,0.04589497514373689
5003,200,0.5,0.0,0.5,0.008771929824561403,0.0,0.03749679591148885,0.04589497514373689
5003,500,0.0,0.0,0.0,0.0,0.0,0.035612920409772646,0.04589497514373689
5003,1000,0.5,0.0,0.5,0.008771929824561403,0.0,0.03437742687030807,0.04589497514373689
5004,200,0.5,0.0,0.5,0.008771929824561403,0.0,0.03889953395138721,0.04589497514373689
5004,500,0.0,0.0,0.0,0.0,0.0,0.03524385542793204,0.04589497514373689
5004,1000,0.4,0.0,0.4,0.017543859649122806,0.0,0.05122732964809213,0.04589497514373689
5005,200,0.5,0.0,0.5,0.008771929824561403,0.0,0.038693833572844255,0.04589497514373689
5005,500,0.0,0.0,0.0,0.0,0.0,0.03437742687030807,0.04589497514373689
5005,1000,0.0,0.0,0.0,0.0,0.0,0.03437742687030807,0.04589497514373689
5006,200,0.0,0.0,0.0,0.0,0.0,0.03437742687030807,0.04589497514373689
5006,500,0.5,0.0,0.5,0.008771929824561403,0.0,0.03588452727168103,0.04589497514373689
5006,1000,0.5,0.0,0.5,0.008771929824561403,0.0,0.03437742687030807,0.04589497514373689
5007,200,0.5,0.0,0.5,0.008771929824561403,0.0,0.04324659120250507,0.04589497514373689
5007,500,0.0,0.0,0.0,0.0,0.0,0.03565044374664148,0.04589497514373689
5007,1000,0.0,0.0,0.0,0.0,0.0,0.03445278189037672,0.04589497514373689
5008,200,0.0,0.0,0.0,0.0,0.0,0.03437742687030807,0.04589497514373689
5008,500,0.0,0.0,0.0,0.008771929824561403,0.0,0.03498026703085726,0.04589497514373689
5008,1000,0.0,0.0,0.0,0.0,0.0,0.03437742687030807,0.04589497514373689
5009,200,0.0,0.0,0.0,0.0,0.0,0.048115139822916424,0.04589497514373689
5009,500,0.0,0.0,0.0,0.0,0.0,0.05666343263863614,0.04589497514373689
5009,1000,0.0,0.0,0.0,0.0,0.0,0.03498026703085726,0.04589497514373689
5010,200,0.11764705882352941,0.0,0.11764705882352941,0.12280701754385964,0.0,0.3958546802170112,0.04589497514373689
5010,500,0.0,0.0,0.0,0.008771929824561403,0.0,0.0515623378587882,0.04589497514373689
5010,1000,0.0,0.0,0.0,0.017543859649122806,0.0,0.044081234592267864,0.04589497514373689
5011,200,0.0,0.0,0.0,0.0,0.0,0.03445278189037672,0.04589497514373689
5011,500,0.0,0.0,0.0,0.0,0.0,0.03437742687030807,0.04589497514373689
5011,1000,0.0,0.0,0.0,0.008771929824561403,0.0,0.03437742687030807,0.04589497514373689
5012,200,0.0,0.0,0.0,0.0,0.0,0.04662518124188281,0.04589497514373689
5012,500,0.0,0.0,0.0,0.0,0.0,0.0395880738136679,0.04589497514373689
5012,1000,0.5,0.0,0.5,0.008771929824561403,0.0,0.03437742687030807,0.04589497514373689
5013,200,0.0,0.0,0.0,0.0,0.0,0.03460349193051401,0.04589497514373689
5013,500,0.0,0.0,0.0,0.008771929824561403,0.0,0.050387795181830244,0.04589497514373689
5013,1000,0.0,0.0,0.0,0.0,0.0,0.04068555751793996,0.04589497514373689
5014,200,0.0,0.0,0.0,0.0,0.0,0.038690624430819394,0.04589497514373689
